COD_ORIGEM,COD_DESTINO,DISTANCIA_KM,CUSTO_DESLOCAMENTO
2800704,2800308,110.9,277.25
2800704,2800605,98.09,245.23
2800704,2800670,186.43,466.08
2800704,2801009,174.0,435.0
2800704,2801207,217.63,544.08
2800704,2801306,94.48,236.2
2800704,2801405,183.52,458.8
2800704,2801702,221.64,554.1
2800704,2802106,173.07,432.67
2800704,2802304,163.77,409.43
2800704,2802908,163.7,409.25
2800704,2803005,225.65,564.12
2800704,2803203,139.98,349.95
2800704,2803500,182.31,455.77
2800704,2803609,123.08,307.7
2800704,2804508,138.6,346.5
2800704,2804607,109.34,273.35
2800704,2804805,113.73,284.32
2800704,2805406,191.46,478.65
2800704,2805604,161.24,403.1
2800704,2805703,66.89,167.22
2800704,2806701,118.54,296.35
2800704,2807105,210.23,525.57
2800704,2807402,241.03,602.58
2800704,2807600,205.76,514.4
2801009,2800308,65.62,164.05
2801009,2800605,68.97,172.43
2801009,2800670,62.27,155.68
2801009,2801207,156.19,390.48
2801009,2801306,81.43,203.58
2801009,2801405,67.45,168.62
2801009,2801702,109.27,273.18
2801009,2802106,90.91,227.27
2801009,2802304,33.99,84.98
2801009,2802908,12.89,32.23
2801009,2803005,94.48,236.2
2801009,2803203,59.62,149.05
2801009,2803500,27.33,68.32
2801009,2803609,54.15,135.38
2801009,2804508,77.16,192.9
2801009,2804607,62.07,155.18
2801009,2804805,63.66,159.15
2801009,2805406,130.02,325.05
2801009,2805604,131.95,329.88
2801009,2805703,132.91,332.27
2801009,2806701,70.83,177.07
2801009,2807105,56.32,140.8
2801009,2807402,86.15,215.38
2801009,2807600,93.38,233.45
2801108,2800308,119.97,299.93
2801108,2800605,119.47,298.68
2801108,2800670,182.36,455.9
2801108,2801009,151.61,379.03
2801108,2801207,153.27,383.18
2801108,2801306,72.1,180.25
2801108,2801405,119.51,298.78
2801108,2801702,217.58,543.95
2801108,2802106,169.01,422.52
2801108,2802304,111.67,279.18
2801108,2802908,141.31,353.27
2801108,2803005,221.59,553.98
2801108,2803203,135.91,339.77
2801108,2803500,178.24,445.6
2801108,2803609,100.7,251.75
2801108,2804508,74.59,186.48
2801108,2804607,60.72,151.8
2801108,2804805,111.49,278.72
2801108,2805406,127.1,317.75
2801108,2805604,74.79,186.98
2801108,2805703,24.87,62.18
2801108,2806701,125.18,312.95
2801108,2807105,177.69,444.23
2801108,2807402,236.96,592.4
2801108,2807600,201.69,504.23
2801207,2800308,200.24,500.6
2801207,2800605,199.75,499.38
2801207,2800670,216.8,542.0
2801207,2801009,155.5,388.75
2801207,2801306,147.14,367.85
2801207,2801405,106.87,267.18
2801207,2801702,263.79,659.48
2801207,2802106,249.28,623.2
2801207,2802304,128.75,321.88
2801207,2802908,148.17,370.42
2801207,2803005,249.0,622.5
2801207,2803203,216.18,540.45
2801207,2803500,181.86,454.65
2801207,2803609,180.97,452.43
2801207,2804508,80.66,201.65
2801207,2804607,128.24,320.6
2801207,2804805,191.76,479.4
2801207,2805406,35.05,87.62
2801207,2805604,80.58,201.45
2801207,2805703,178.0,445.0
2801207,2806701,205.46,513.65
2801207,2807105,165.06,412.65
2801207,2807402,245.53,613.83
2801207,2807600,247.9,619.75
2801306,2800308,69.99,174.97
2801306,2800605,69.5,173.75
2801306,2800670,132.39,330.97
2801306,2801009,81.73,204.33
2801306,2801207,147.06,367.65
2801306,2801405,108.78,271.95
2801306,2801702,167.61,419.03
2801306,2802106,119.03,297.57
2801306,2802304,75.31,188.28
2801306,2802908,69.01,172.53
2801306,2803005,171.61,429.03
2801306,2803203,85.94,214.85
2801306,2803500,108.08,270.2
2801306,2803609,50.72,126.8
2801306,2804508,68.03,170.07
2801306,2804607,20.88,52.2
2801306,2804805,61.52,153.8
2801306,2805406,120.89,302.23
2801306,2805604,122.82,307.05
2801306,2805703,50.61,126.53
2801306,2806701,75.21,188.02
2801306,2807105,121.78,304.45
2801306,2807402,166.9,417.25
2801306,2807600,151.72,379.3
2801405,2800308,112.43,281.08
2801405,2800605,115.78,289.45
2801405,2800670,119.08,297.7
2801405,2801009,67.03,167.57
2801405,2801207,106.84,267.1
2801405,2801306,108.83,272.07
2801405,2801702,162.12,405.3
2801405,2802106,161.84,404.6
2801405,2802304,36.64,91.6
2801405,2802908,59.7,149.25
2801405,2803005,147.32,368.3
2801405,2803203,128.75,321.88
2801405,2803500,85.39,213.47
2801405,2803609,100.97,252.43
2801405,2804508,45.8,114.5
2801405,2804607,89.47,223.68
2801405,2804805,110.47,276.18
2801405,2805406,80.67,201.68
2801405,2805604,82.6,206.5
2801405,2805703,143.87,359.68
2801405,2806701,117.65,294.12
2801405,2807105,58.79,146.97
2801405,2807402,139.0,347.5
2801405,2807600,146.23,365.57
2801504,2800308,53.07,132.68
2801504,2800605,51.71,129.28
2801504,2800670,115.46,288.65
2801504,2801009,84.71,211.77
2801504,2801207,167.15,417.88
2801504,2801306,29.11,72.78
2801504,2801405,131.04,327.6
2801504,2801702,150.68,376.7
2801504,2802106,102.11,255.28
2801504,2802304,97.58,243.95
2801504,2802908,74.41,186.02
2801504,2803005,154.69,386.73
2801504,2803203,69.01,172.53
2801504,2803500,111.35,278.38
2801504,2803609,33.8,84.5
2801504,2804508,88.12,220.3
2801504,2804607,40.38,100.95
2801504,2804805,44.59,111.48
2801504,2805406,140.97,352.43
2801504,2805604,149.29,373.22
2801504,2805703,57.85,144.62
2801504,2806701,58.29,145.72
2801504,2807105,140.23,350.57
2801504,2807402,170.07,425.17
2801504,2807600,134.79,336.97
2801603,2800308,95.64,239.1
2801603,2800605,95.14,237.85
2801603,2800670,158.03,395.07
2801603,2801009,127.28,318.2
2801603,2801207,155.2,388.0
2801603,2801306,47.77,119.43
2801603,2801405,121.08,302.7
2801603,2801702,193.25,483.12
2801603,2802106,144.67,361.67
2801603,2802304,117.06,292.65
2801603,2802908,116.98,292.45
2801603,2803005,197.26,493.15
2801603,2803203,111.58,278.95
2801603,2803500,153.91,384.77
2801603,2803609,76.37,190.93
2801603,2804508,76.17,190.43
2801603,2804607,62.62,156.55
2801603,2804805,87.16,217.9
2801603,2805406,129.02,322.55
2801603,2805604,96.85,242.12
2801603,2805703,11.81,29.53
2801603,2806701,100.85,252.12
2801603,2807105,163.52,408.8
2801603,2807402,212.63,531.58
2801603,2807600,177.36,443.4
2801702,2800308,118.78,296.95
2801702,2800605,123.46,308.65
2801702,2800670,53.56,133.9
2801702,2801009,109.26,273.15
2801702,2801207,264.5,661.25
2801702,2801306,171.34,428.35
2801702,2801405,162.24,405.6
2801702,2802106,52.22,130.55
2801702,2802304,142.3,355.75
2801702,2802908,121.2,303.0
2801702,2803005,32.36,80.9
2801702,2803203,83.86,209.65
2801702,2803500,84.64,211.6
2801702,2803609,122.64,306.6
2801702,2804508,185.47,463.68
2801702,2804607,172.09,430.23
2801702,2804805,120.73,301.82
2801702,2805406,238.33,595.83
2801702,2805604,240.26,600.65
2801702,2805703,200.08,500.2
2801702,2806701,106.39,265.98
2801702,2807105,107.64,269.1
2801702,2807402,68.31,170.78
2801702,2807600,17.47,43.67
2801900,2800308,90.58,226.45
2801900,2800605,90.08,225.2
2801900,2800670,152.97,382.43
2801900,2801009,79.42,198.55
