MEAN_X,MEAN_Y,ID_divisao,id_ordem
-37.05274276,-10.89430267,280030805_2800308031,198
-37.05587372,-10.92983218,280030805_2800308012,199
-37.06019685,-10.27649563,280020905_.,200
-37.04872732,-10.93026888,280030805_2800308011,201
-37.0684537,-10.92380036,280030805_2800308014,202
-37.01849628,-10.91234722,280060505_2800605010,203
-37.34782018,-10.59537254,280410205_.,204
-37.14469628,-10.89143732,280480517_2804805504,205
-37.0626572,-10.92519536,280030805_2800308013,206
-37.07993337,-10.91856756,280030805_2800308016,207
-37.07192419,-10.91562853,280030805_2800308015,208
-37.05056294,-10.92210858,280030805_2800308018,209
-37.09719893,-10.91138739,280030805_2800308017,210
-37.08359498,-10.91121051,280030805_2800308019,211
-37.66038222,-10.91035089,280350005_2803500001,212
-37.66996514,-10.91608209,280350005_2803500003,213
-37.56675396,-10.7922686,280680005_.,214
-37.68852448,-10.90924414,280350005_2803500002,215
-37.99508305,-11.1826359,280740205_2807402010,216
-37.66369295,-10.92364359,280350005_2803500005,217
-37.12928184,-10.91312375,280480516_2804805503,218
-37.6871072,-10.89766166,280350005_2803500004,219
-37.98348634,-11.19287396,280740205_2807402012,220
-37.66657636,-10.93687485,280350005_2803500007,221
-37.62192447,-11.15369063,280067005_.,222
-37.98614748,-11.18378538,280740205_2807402011,223
-37.65311303,-10.92822411,280350005_2803500006,224
-37.9981434,-11.19073318,280740205_2807402014,225
-37.12790376,-10.89799096,280480516_2804805508,226
-37.67433914,-10.90215456,280350005_2803500009,227
-37.99241892,-11.19119248,280740205_2807402013,228
-37.67755488,-10.91095075,280350005_2803500008,229
-37.33135246,-11.02828227,280320305_.,230
-37.36949376,-10.38993569,280700605_.,231
-37.98423651,-11.17809234,280740205_2807402015,232
-37.05248402,-10.85025217,280480515_2804805502,233
-37.06231943,-10.9161069,280030805_2800308021,234
-37.08968707,-10.73514582,280400305_.,235
-36.82625007,-10.22913774,280570305_.,236
-37.05349664,-10.91205873,280030805_2800308020,237
-37.05477009,-10.98910533,280030805_2800308001,238
-37.06395066,-10.97094323,280030805_2800308003,239
-37.07166173,-10.98989954,280030805_2800308002,240
-37.04523061,-10.96670328,280030805_2800308005,241
-37.08355788,-10.96582887,280030805_2800308004,242
-37.07201598,-10.9543575,280030805_2800308007,243
-37.08742574,-10.94077299,280030805_2800308006,244
-37.06817933,-10.9365485,280030805_2800308009,245
-36.98526684,-10.15371535,280110805_.,246
-37.0607465,-10.93868753,280030805_2800308008,247
-37.91396401,-9.718528641,280120705_.,248
-37.10385565,-10.89506195,280480516_.,249
-38.00364902,-11.189679,280740205_2807402001,250
-38.00502645,-11.18180073,280740205_2807402003,251
-38.01062296,-11.18673017,280740205_2807402002,252
-38.00886475,-11.1703131,280740205_2807402005,253
-37.56512832,-10.52077478,280230405_.,254
-38.00916288,-11.17806205,280740205_2807402004,255
-38.0054933,-11.16766682,280740205_2807402007,256
-38.01220061,-11.16121568,280740205_2807402006,257
-37.03904132,-10.38984198,280130610_.,258
-37.07588557,-10.93437118,280030805_2800308010,259
-37.03065227,-10.08057971,280470605_.,260
-37.50232156,-11.35866661,280630505_.,261
-37.20862175,-10.86431546,280480510_.,262
-37.82808985,-10.75295863,280710505_.,263
-37.12835883,-10.8525392,280480505_2804805515,264
-37.06064711,-10.85401325,280480518_2804805511,265
-37.33577876,-10.27810405,280220505_.,266
-37.04323999,-10.50781209,280130605_.,267
-38.13311896,-10.99506789,280740215_.,268
-36.9775512,-10.65588672,280150405_.,269
-37.74776677,-11.08294294,280580205_.,270
-37.47943107,-11.04313068,280620605_.,271
-37.06430964,-10.8358273,280480518_2804805505,272
-37.06917057,-10.84658666,280480518_2804805507,273
-36.61378341,-10.28531732,280640405_.,274
-37.63294721,-11.14386595,280067005_2800670009,275
-37.62772024,-11.1470013,280067005_2800670008,276
-37.89759498,-10.93153845,280580210_.,277
-37.13460829,-10.87587998,280480517_.,278
-37.56216857,-10.66822425,280370805_.,279
-37.15350722,-10.89020544,280480511_2804805001,280
-37.16091759,-10.87781178,280480511_.,281
