CD_setor,pop_15_59_ajustada,pop_60_plus_ajustada,leitos_clinicos_15_59,leitos_cirurgicos_15_59,leitos_clinicos_60+,leitos_cirurgicos_60+,necessidade_total_leitos
280520805000003,266.53757727036844,79.5622309322612,23.90842068115205,20.630008480726516,42.62626084426827,16.103395540689665,0.392953141350215
280520805000004,181.3657950599124,54.43731590102082,16.268511816874142,14.037712537637217,29.16533636713092,11.01811273836661,0.2682255458904448
280520805000005,205.41429827227645,57.57793027992587,18.425662555023198,15.899066686274196,30.847951926773092,11.653773088656996,0.292338105999724
280520805000006,154.3112289460028,39.7811154661306,13.841717236456454,11.943689120420617,21.313130422134137,8.051697770344832,0.2098562958499088
280520805000007,328.66287723564227,84.79658823043627,29.48106008803711,25.43850669803871,45.430620110338545,17.1628294578403,0.4471575964773769
280520805000010,233.47088535336786,43.96860130467066,20.9423384161971,18.07064652635067,23.55661783499036,8.899244904065341,0.27195147519636026
280520805000011,320.64670949818765,66.999773416641,28.76200984198743,24.81805531515972,35.895798605699596,13.560754139528138,0.3920723664473931
280520805000012,84.16976124327425,23.03117211197035,7.5500275835217,6.514739520229427,12.339180770709238,4.661509235462798,0.11820950194034688
280520805000013,206.4163192394583,27.21865795051041,18.515543835779408,15.97662310913407,14.58266818356546,5.509056369183305,0.20770126140662953
280520805000015,239.48301115645887,46.0623442239407,21.48162610073436,18.535985063509916,24.678361541418475,9.323018470925597,0.28165521756692674
280520805000016,249.50322082827725,60.718544658830915,22.38043890829647,19.31154929210866,32.53056748641526,12.289433438947375,0.3291932615135759
280520805000017,273.5517240406413,106.78088888277162,24.537589646445525,21.172903440745635,57.20892902783374,21.612451909872973,0.4738655784813465
280520805000018,243.49109502518624,86.89033114970631,21.841151223759205,18.846210754949414,46.552363816766665,17.586603024700555,0.3988825297571379
280520805000019,93.18794994791077,24.078043571605367,8.358959110327596,7.212747325968293,12.900052623923294,4.873396018892925,0.12688415174700193
280530705000002,189.5894588714925,58.34059997272421,17.006174460772876,14.67422411665352,31.256559841386732,11.808137434479379,0.28441817295773403
280530705000003,447.77409884221845,81.02861107322806,40.165336666147,34.6577152503877,43.411888668592674,16.40019088122136,0.5123102415005659
280530705000004,201.97469990329853,74.54632218736982,18.117130581325878,15.632841772515306,39.938937575105264,15.08817561072365,0.3378123498465377
280530705000005,541.1397620050641,109.1185295786138,48.54023665185425,41.88421757919196,58.46134340703814,22.08559038671143,0.6505760579330128
280530705000007,187.68403717429155,58.34059997272421,16.83525813453395,14.526744477290165,31.256559841386732,11.808137434479379,0.28320662057720786
280530705000008,149.57560323027297,25.929155543432984,13.416931609755487,11.577151690023127,13.89180437394966,5.248061081990835,0.16793740013591746
280530705000009,224.8397602697097,27.009537024409358,20.16812649619296,17.40259744487553,14.470629556197562,5.466730293740453,0.21882832492772644
280530705000010,128.61596456106275,49.69754812491322,11.536852021127329,9.954875657026257,26.62595838340351,10.058783740482435,0.22137165069269227
280530705000011,146.71747068447158,31.331062948314855,13.160557120397101,11.3559322309781,16.78593028518917,6.341407140738926,0.18129310037025603
280530705000013,185.77861547709063,45.37602220100772,16.66434180829503,14.379264837926813,24.3106576544119,9.184106893483962,0.2455797990643748
280530705000015,52.39909667302557,23.76839258148023,4.700198971570393,4.055690082492179,12.734154009453851,4.810722658491598,0.10007901720703205
280530705000017,63.83162685623114,23.76839258148023,5.7256969290039335,4.94056791867229,12.734154009453851,4.810722658491598,0.10734833149018902
280530705000020,294.38765221754363,41.054496277102224,26.406572403913664,22.785604281637877,21.995356925420293,8.309430046485488,0.3024998617102638
280530705000021,446.82138799361803,69.14441478248796,40.07987850302754,34.58397543070603,37.04481166386576,13.99482955197556,0.47832380193902163
280530705000022,229.60331451271202,49.69754812491322,20.595417311790268,17.77129654328391,26.62595838340351,10.058783740482435,0.2855839268605789
280530705000024,90.50753061704415,25.929155543432984,8.11852549634886,7.005282869759217,13.89180437394966,5.248061081990835,0.13037927633960644
