X,Y,MEAN_X,MEAN_Y,ID_divisao
-48.4468122030197,-22.9081485863359,-48.446812203019675,-22.908148586335912,350750605_3507506083
-48.4491797401939,-22.8976534619131,-48.449179740193870,-22.897653461913141,350750605_3507506082
-48.3998247291783,-22.9682264204047,-48.399824729178341,-22.968226420404747,350750605_3507506085
-48.4323243398839,-22.9581223674527,-48.432324339883877,-22.958122367452727,350750605_3507506084
-46.3295475661855,-23.9393469068036,-46.329547566185539,-23.939346906803564,354850005_3548500019
-48.8763901440116,-21.2916243041598,-48.876390144011573,-21.291624304159811,354560520_.
-46.319858653866,-23.9369527926107,-46.319858653866000,-23.936952792610690,354850005_3548500016
-46.3209353427263,-23.9410754755128,-46.320935342726344,-23.941075475512783,354850005_3548500015
-47.868462138637,-23.3404952940172,-47.868462138637035,-23.340495294017177,355400305_3554003018
-46.3361882422162,-23.9310397621697,-46.336188242216210,-23.931039762169668,354850005_3548500018
-47.8633484757248,-23.3395200302619,-47.863348475724749,-23.339520030261902,355400305_3554003017
-46.2491713858442,-23.561360080012,-46.249171385844193,-23.561360080011987,353060715_.
-46.3278740064283,-23.935711734496,-46.327874006428331,-23.935711734495982,354850005_3548500017
-46.3503142521657,-23.9669805356973,-46.350314252165717,-23.966980535697267,354850005_3548500001
-47.8757793293174,-23.3599036709728,-47.875779329317432,-23.359903670972759,355400305_3554003019
-47.8672626002096,-23.3329857694496,-47.867262600209614,-23.332985769449639,355400305_3554003014
-46.32430683486,-23.9661725758536,-46.324306834860003,-23.966172575853633,354850005_3548500003
-47.8639777260437,-23.3668448329458,-47.863977726043693,-23.366844832945805,355400305_3554003013
-46.3332952524654,-23.9647169087992,-46.333295252465426,-23.964716908799225,354850005_3548500002
-47.8603351561986,-23.3416665971334,-47.860335156198573,-23.341666597133365,355400305_3554003016
-45.6547758320493,-23.4180909324812,-45.654775832049317,-23.418090932481203,353560605_.
-47.8313128169434,-23.3532525042942,-47.831312816943367,-23.353252504294193,355400305_3554003015
-47.8509163716272,-23.3506263817267,-47.850916371627243,-23.350626381726713,355400305_3554003010
-47.8605757925467,-23.3327206222356,-47.860575792546747,-23.332720622235605,355400305_3554003012
-46.6842250840385,-23.6733871945689,-46.684225084038538,-23.673387194568949,355030816_.
-47.8264655908047,-23.3412436595435,-47.826465590804673,-23.341243659543522,355400305_3554003011
-46.4738226624522,-23.8910186604433,-46.473822662452207,-23.891018660443294,351350405_3513504019
-48.362943481237,-21.603896930293,-48.362943481237032,-21.603896930292962,352930205_.
-47.7105280800659,-21.1515127811791,-47.710528080065949,-21.151512781179143,354340205_.
